# Revision 0.1,25-Oct-18,Initial release,,,,,,,,,
# Revision 1.01,18-Apr-19,Update the QFN72 package with pin 73 as ePAD,,,,,,,,,
,,,,,,,,,,,
PAD,Pin/Ball Function,BANK,Dual Function,Differential,High Speed,,I/O Grouping,QFN72,CABGA256,CABGA400,CABGA484
1,NC,-,-,-,-,,-,-,-,-,-
2,PL2A,5,-,True_OF_PL2B,-,,0,-,-,C4,D3
3,GND,-,-,-,-,,-,-,-,-,-
4,PL2B,5,-,Comp_OF_PL2A,-,,1,-,-,C3,D4
5,PL2C,5,-,True_OF_PL2D,-,,1,-,B1,F6,F6
6,VCCIO5,5,-,-,-,,-,-,-,-,-
7,PL2D,5,-,Comp_OF_PL2C,-,,1,-,C2,G6,G7
8,PL3A,5,L_GPLLT_FB,True_OF_PL3B,-,,1,-,D3,C2,E4
9,GND,-,-,-,-,,-,-,-,-,-
10,PL3B,5,L_GPLLC_FB,Comp_OF_PL3A,-,,2,-,D1,C1,F5
11,PL3C,5,-,True_OF_PL3D,-,,2,-,-,E4,G6
12,VCC,-,-,-,-,,-,-,-,-,-
13,PL3D,5,-,Comp_OF_PL3C,-,,2,-,-,E3,H7
14,PL4A,5,L_GPLLT_IN,True_OF_PL4B,-,,2,-,E2,D2,C1
15,NC,-,-,-,-,,-,-,-,-,-
16,PL4B,5,L_GPLLC_IN,Comp_OF_PL4A,-,,2,-,E3,D1,D2
17,PL4C,5,-,True_OF_PL4D,-,,2,-,C1,F5,G5
18,VCCIO5,5,-,-,-,,-,-,-,-,-
19,PL4D,5,-,Comp_OF_PL4C,-,,2,-,D2,G5,H6
20,PL5A,5,-,True_OF_PL5B,-,,2,-,-,-,D1
21,NC,-,-,-,-,,-,-,-,-,-
22,PL5B,5,-,Comp_OF_PL5A,-,,2,-,-,-,E2
23,PL5C,5,-,True_OF_PL5D,-,,2,-,-,H6,E3
24,VCCIO5,5,-,-,-,,-,-,-,-,-
25,PL5D,5,-,Comp_OF_PL5C,-,,2,-,-,H7,F4
26,PL6A,5,-,True_OF_PL6B,-,,2,-,-,F4,E1
27,GND,-,-,-,-,,-,-,-,-,-
28,PL6B,5,-,Comp_OF_PL6A,-,,3,-,-,F3,F1
29,PL6C,5,-,True_OF_PL6D,-,,3,-,-,-,G3
30,GND,-,-,-,-,,-,-,-,-,-
31,PL6D,5,-,Comp_OF_PL6C,-,,3,-,-,-,G4
32,PL7A,5,PCLKT5_0,True_OF_PL7B,-,,3,-,E1,E2,G2
33,VCCIO5,5,-,-,-,,-,-,-,-,-
34,PL7B,5,PCLKC5_0,Comp_OF_PL7A,-,,3,-,F2,E1,G1
35,PL7C,5,-,True_OF_PL7D,-,,3,-,F4,F2,H4
36,GND,-,-,-,-,,-,-,-,-,-
