# Revision 1.0,4/14/2019,Initial release,,,,,,,,,,,
,,,,,,,,,,,,,
LCMXO3D-4300,,,,,,,,LCMXO3D-9400,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS
A1,VCC,-,-,-,-,,,A1,VCC,-,-,-,-
A10,PT21B,0,-,Comp_OF_PT21A,TRUE,,,A10,PT28B,0,-,Comp_OF_PT28A,TRUE
A11,PT24A,0,-,True_OF_PT24B,TRUE,,,A11,PT38A,0,-,True_OF_PT38B,TRUE
A12,PT25B,0,-,Comp_OF_PT25A,TRUE,,,A12,PT41B,0,-,Comp_OF_PT41A,TRUE
A13,PT28C,0,INITN,True_OF_PT28D,-,,,A13,PT44C,0,INITN,True_OF_PT44D,-
A14,PT26B,0,-,Comp_OF_PT26A,TRUE,,,A14,PT42B,0,-,Comp_OF_PT42A,TRUE
A15,PT28B,0,-,Comp_OF_PT28A,TRUE,,,A15,PT44B,0,-,Comp_OF_PT44A,TRUE
A16,VCC,-,-,-,-,,,A16,VCC,-,-,-,-
A2,NC,0,-,-,-,,,A2,NC,0,-,-,-
A3,PT12A,0,-,True_OF_PT12B,TRUE,,,A3,PT12A,0,-,True_OF_PT12B,TRUE
A4,PT10A,0,-,True_OF_PT10B,TRUE,,,A4,PT10A,0,-,True_OF_PT10B,TRUE
A5,PT11A,0,-,True_OF_PT11B,TRUE,,,A5,PT11A,0,-,True_OF_PT11B,TRUE
A6,PT13D,0,TDI,Comp_OF_PT13C,-,,,A6,PT15D,0,TDI,Comp_OF_PT15C,-
A7,PT15C,0,TCK,True_OF_PT15D,-,,,A7,PT22C,0,TCK,True_OF_PT22D,-
A8,PT18B,0,PCLKC0_1,Comp_OF_PT18A,TRUE,,,A8,PT23B,0,PCLKC0_1,Comp_OF_PT23A,TRUE
A9,PT20C,0,SCL/PCLKT0_0,True_OF_PT20D,-,,,A9,PT27C,0,SCL/PCLKT0_0,True_OF_PT27D,-
B1,PL2C,5,-,True_OF_PL2D,-,,,B1,PL2C,5,-,True_OF_PL2D,-
B10,PT23D,0,PROGRAMN,Comp_OF_PT23C,-,,,B10,PT31D,0,PROGRAMN,Comp_OF_PT31C,-
B11,PT25A,0,-,True_OF_PT25B,TRUE,,,B11,PT41A,0,-,True_OF_PT41B,TRUE
B12,PT27B,0,-,Comp_OF_PT27A,TRUE,,,B12,PT43B,0,-,Comp_OF_PT43A,TRUE
B13,PT26A,0,-,True_OF_PT26B,TRUE,,,B13,PT42A,0,-,True_OF_PT42B,TRUE
B14,PT28A,0,-,True_OF_PT28B,TRUE,,,B14,PT44A,0,-,True_OF_PT44B,TRUE
B15,GND,-,-,-,-,,,B15,GND,-,-,-,-
B16,PR2D,1,-,Comp_OF_PR2C,-,,,B16,PR2D,1,-,Comp_OF_PR2C,-
B2,GND,-,-,-,-,,,B2,GND,-,-,-,-
B3,PT9C,0,-,True_OF_PT9D,-,,,B3,PT9C,0,-,True_OF_PT9D,-
B4,PT12B,0,-,Comp_OF_PT12A,TRUE,,,B4,PT12B,0,-,Comp_OF_PT12A,TRUE
B5,PT9B,0,-,Comp_OF_PT9A,TRUE,,,B5,PT9B,0,-,Comp_OF_PT9A,TRUE
B6,PT11B,0,-,Comp_OF_PT11A,TRUE,,,B6,PT11B,0,-,Comp_OF_PT11A,TRUE
B7,PT14A,0,-,True_OF_PT14B,TRUE,,,B7,PT20A,0,-,True_OF_PT20B,TRUE
B8,PT15D,0,TMS,Comp_OF_PT15C,-,,,B8,PT22D,0,TMS,Comp_OF_PT22C,-
B9,PT21A,0,-,True_OF_PT21B,TRUE,,,B9,PT28A,0,-,True_OF_PT28B,TRUE
C1,PL4C,5,-,True_OF_PL4D,-,,,C1,PL4C,5,-,True_OF_PL4D,-
C10,PT23C,0,JTAGENB,True_OF_PT23D,-,,,C10,PT31C,0,JTAGENB,True_OF_PT31D,-
C11,PT24B,0,-,Comp_OF_PT24A,TRUE,,,C11,PT38B,0,-,Comp_OF_PT38A,TRUE
C12,PT27A,0,-,True_OF_PT27B,TRUE,,,C12,PT43A,0,-,True_OF_PT43B,TRUE
C13,PT28D,0,DONE,Comp_OF_PT28C,-,,,C13,PT44D,0,DONE,Comp_OF_PT44C,-
C14,GND,-,-,-,-,,,C14,GND,-,-,-,-
C15,PR2C,1,-,True_OF_PR2D,-,,,C15,PR2C,1,-,True_OF_PR2D,-
C16,PR4C,1,-,True_OF_PR4D,-,,,C16,PR4C,1,-,True_OF_PR4D,-
C2,PL2D,5,-,Comp_OF_PL2C,-,,,C2,PL2D,5,-,Comp_OF_PL2C,-
C3,GND,-,-,-,-,,,C3,GND,-,-,-,-
C4,PT9A,0,-,True_OF_PT9B,TRUE,,,C4,PT9A,0,-,True_OF_PT9B,TRUE
C5,PT10B,0,-,Comp_OF_PT10A,TRUE,,,C5,PT10B,0,-,Comp_OF_PT10A,TRUE
C6,PT13C,0,TDO,True_OF_PT13D,-,,,C6,PT15C,0,TDO,True_OF_PT15D,-
C7,PT14B,0,-,Comp_OF_PT14A,TRUE,,,C7,PT20B,0,-,Comp_OF_PT20A,TRUE
C8,PT18A,0,PCLKT0_1,True_OF_PT18B,TRUE,,,C8,PT23A,0,PCLKT0_1,True_OF_PT23B,TRUE
C9,PT20D,0,SDA/PCLKC0_0,Comp_OF_PT20C,-,,,C9,PT27D,0,SDA/PCLKC0_0,Comp_OF_PT27C,-
D1,PL3B,5,L_GPLLC_FB,Comp_OF_PL3A,-,,,D1,PL3B,5,L_GPLLC_FB,Comp_OF_PL3A,-
D10,PT23A,0,-,True_OF_PT23B,TRUE,,,D10,PT31A,0,-,True_OF_PT31B,TRUE
D11,PT24D,0,-,Comp_OF_PT24C,-,,,D11,PT39B,0,-,Comp_OF_PT39A,TRUE
D12,VCCIO0,0,-,-,-,,,D12,VCCIO0,0,-,-,-
D13,GND,-,-,-,-,,,D13,GND,-,-,-,-
D14,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-,,,D14,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-
D15,PR4D,1,-,Comp_OF_PR4C,-,,,D15,PR4D,1,-,Comp_OF_PR4C,-
D16,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-,,,D16,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-
D2,PL4D,5,-,Comp_OF_PL4C,-,,,D2,PL4D,5,-,Comp_OF_PL4C,-
D3,PL3A,5,L_GPLLT_FB,True_OF_PL3B,-,,,D3,PL3A,5,L_GPLLT_FB,True_OF_PL3B,-
D4,GND,-,-,-,-,,,D4,GND,-,-,-,-
D5,VCCIO0,0,-,-,-,,,D5,VCCIO0,0,-,-,-
D6,PT13A,0,-,True_OF_PT13B,TRUE,,,D6,PT15A,0,-,True_OF_PT15B,TRUE
D7,PT14D,0,-,Comp_OF_PT14C,-,,,D7,PT21B,0,-,Comp_OF_PT21A,TRUE
D8,PT19A,0,-,True_OF_PT19B,TRUE,,,D8,PT24A,0,-,True_OF_PT24B,TRUE
D9,PT20B,0,-,Comp_OF_PT20A,TRUE,,,D9,PT27B,0,-,Comp_OF_PT27A,TRUE
E1,PL6A,5,PCLKT5_0,True_OF_PL6B,-,,,E1,PL7A,5,PCLKT5_0,True_OF_PL7B,-
E10,PT23B,0,-,Comp_OF_PT23A,TRUE,,,E10,PT31B,0,-,Comp_OF_PT31A,TRUE
E11,PT22B,0,-,Comp_OF_PT22A,TRUE,,,E11,PT29B,0,-,Comp_OF_PT29A,TRUE
E12,GND,-,-,-,-,,,E12,GND,-,-,-,-
E13,VCCIO1,1,-,-,-,,,E13,VCCIO1,1,-,-,-
E14,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-,,,E14,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-
E15,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-,,,E15,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-
E16,PR5A,1,-,True_OF_PR5B,-,,,E16,PR5A,1,-,True_OF_PR5B,-
E2,PL4A,5,L_GPLLT_IN,True_OF_PL4B,-,,,E2,PL4A,5,L_GPLLT_IN,True_OF_PL4B,-
E3,PL4B,5,L_GPLLC_IN,Comp_OF_PL4A,-,,,E3,PL4B,5,L_GPLLC_IN,Comp_OF_PL4A,-
E4,VCCIO5,5,-,-,-,,,E4,VCCIO5,5,-,-,-
E5,GND,-,-,-,-,,,E5,GND,-,-,-,-
E6,PT14C,0,-,True_OF_PT14D,-,,,E6,PT21A,0,-,True_OF_PT21B,TRUE
E7,PT13B,0,-,Comp_OF_PT13A,TRUE,,,E7,PT15B,0,-,Comp_OF_PT15A,TRUE
E8,PT15B,0,-,Comp_OF_PT15A,TRUE,,,E8,PT22B,0,-,Comp_OF_PT22A,TRUE
E9,PT19B,0,-,Comp_OF_PT19A,TRUE,,,E9,PT24B,0,-,Comp_OF_PT24A,TRUE
F1,PL7B,5,-,Comp_OF_PL7A,-,,,F1,PL11B,5,-,Comp_OF_PL11A,-
F10,PT24C,0,-,True_OF_PT24D,-,,,F10,PT39A,0,-,True_OF_PT39B,TRUE
F11,GND,-,-,-,-,,,F11,GND,-,-,-,-
F12,PR6C,1,-,True_OF_PR6D,-,,,F12,PR10C,1,-,True_OF_PR10D,-
F13,PR5C,1,-,True_OF_PR5D,-,,,F13,PR6C,1,-,True_OF_PR6D,-
F14,PR6A,1,-,True_OF_PR6B,-,,,F14,PR7A,1,-,True_OF_PR7B,-
F15,PR5B,1,-,Comp_OF_PR5A,-,,,F15,PR5B,1,-,Comp_OF_PR5A,-
F16,PR6B,1,-,Comp_OF_PR6A,-,,,F16,PR7B,1,-,Comp_OF_PR7A,-
F2,PL6B,5,PCLKC5_0,Comp_OF_PL6A,-,,,F2,PL7B,5,PCLKC5_0,Comp_OF_PL7A,-
F3,PL7A,5,-,True_OF_PL7B,-,,,F3,PL11A,5,-,True_OF_PL11B,-
F4,PL6C,5,-,True_OF_PL6D,-,,,F4,PL7C,5,-,True_OF_PL7D,-
F5,PL8C,5,-,True_OF_PL8D,-,,,F5,PL12C,5,-,True_OF_PL12D,-
F6,GND,-,-,-,-,,,F6,GND,-,-,-,-
F7,PT15A,0,-,True_OF_PT15B,TRUE,,,F7,PT22A,0,-,True_OF_PT22B,TRUE
F8,PT20A,0,-,True_OF_PT20B,TRUE,,,F8,PT27A,0,-,True_OF_PT27B,TRUE
