# Revision 1.0,4/14/2019,Initial release,,,,,,,,,,,
# Revision 1.1,4/18/2019,Add the ePAD ground pin,,,,,,,,,,,
,,,,,,,,,,,,,
LCMXO3D-4300,,,,,,,,LCMXO3D-9400,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS
1,PT13D,0,TDI,Comp_OF_PT13C,-,,,1,PT15D,0,TDI,Comp_OF_PT15C,-
2,PT13C,0,TDO,True_OF_PT13D,-,,,2,PT15C,0,TDO,True_OF_PT15D,-
3,PT11A,0,-,True_OF_PT11B,TRUE,,,3,PT11A,0,-,True_OF_PT11B,TRUE
4,PT11B,0,-,Comp_OF_PT11A,TRUE,,,4,PT11B,0,-,Comp_OF_PT11A,TRUE
5,VCC,-,-,-,-,,,5,VCC,-,-,-,-
6,PL16A,3,-,True_OF_PL16B,-,,,6,PL25A,3,I3C,True_OF_PL25B,-
7,PL16B,3,-,Comp_OF_PL16A,-,,,7,PL25B,3,I3C,Comp_OF_PL25A,-
8,PL17A,3,PCLKT3_0,True_OF_PL17B,-,,,8,PL27A,3,PCLKT3_0,True_OF_PL27B,-
9,PL17B,3,PCLKC3_0,Comp_OF_PL17A,-,,,9,PL27B,3,PCLKC3_0,Comp_OF_PL27A,-
10,PL19A,3,-,True_OF_PL19B,-,,,10,PL29A,3,I3C,True_OF_PL29B,-
11,PL19B,3,-,Comp_OF_PL19A,-,,,11,PL29B,3,I3C,Comp_OF_PL29A,-
12,PL20A,3,-,True_OF_PL20B,-,,,12,PL30A,3,I3C,True_OF_PL30B,-
13,PL20B,3,-,Comp_OF_PL20A,-,,,13,PL30B,3,I3C,Comp_OF_PL30A,-
14,PL20C,3,-,True_OF_PL20D,-,,,14,PL30C,3,-,True_OF_PL30D,-
15,VCCIO3,3,-,-,-,,,15,VCCIO3,3,-,-,-
16,PB4A,2,CSSPIN,True_OF_PB4B,-,,,16,PB7A,2,CSSPIN,True_OF_PB7B,-
17,PB4B,2,-,Comp_OF_PB4A,-,,,17,PB7B,2,-,Comp_OF_PB7A,-
18,VCCIO2,2,-,-,-,,,18,VCCIO2,2,-,-,-
19,PB9A,2,MCLK/CCLK,True_OF_PB9B,-,,,19,PB16A,2,MCLK/CCLK,True_OF_PB16B,-
20,PB9B,2,SO/SPISO,Comp_OF_PB9A,-,,,20,PB16B,2,SO/SPISO,Comp_OF_PB16A,-
21,PB10A,2,-,True_OF_PB10B,-,,,21,PB18A,2,-,True_OF_PB18B,-
22,PB10B,2,-,Comp_OF_PB10A,-,,,22,PB18B,2,-,Comp_OF_PB18A,-
23,PB13A,2,PCLKT2_0,True_OF_PB13B,-,,,23,PB22A,2,PCLKT2_0,True_OF_PB22B,-
