# Revision 1.0,15-Feb-19,Initial release,,,,,,,
# Revision 1.01,18-Apr-19,Update QFN72 package with pin 73 as ePAD ground,,,,,,,
# Revision 1.02,30-May-19,Update with dual function as I3C,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,QFN72,CABGA256
9,NC,-,-,-,-,,+,-,-
10,PL2A,5,-,True_OF_PL2B,-,,+,-,-
11,GND,-,-,-,-,,-,-,-
12,PL2B,5,-,Comp_OF_PL2A,-,,-,-,-
13,PL2C,5,-,True_OF_PL2D,-,,-,-,B1
14,VCCIO5,5,-,-,-,,-,-,-
15,PL2D,5,-,Comp_OF_PL2C,-,,-,-,C2
16,PL3A,5,L_GPLLT_FB,True_OF_PL3B,-,,-,-,D3
17,GND,-,-,-,-,,+,-,-
18,PL3B,5,L_GPLLC_FB,Comp_OF_PL3A,-,,+,-,D1
19,PL3C,5,-,True_OF_PL3D,-,,+,-,-
20,VCC,-,-,-,-,,+,5,-
21,PL3D,5,-,Comp_OF_PL3C,-,,+,-,-
22,PL4A,5,L_GPLLT_IN,True_OF_PL4B,-,,+,-,E2
23,NC,-,-,-,-,,+,-,-
24,PL4B,5,L_GPLLC_IN,Comp_OF_PL4A,-,,+,-,E3
25,PL4C,5,-,True_OF_PL4D,-,,+,-,C1
26,VCCIO5,5,-,-,-,,+,-,-
27,PL4D,5,-,Comp_OF_PL4C,-,,+,-,D2
28,PL5A,5,-,True_OF_PL5B,-,,+,-,-
29,NC,-,-,-,-,,+,-,-
30,PL5B,5,-,Comp_OF_PL5A,-,,+,-,-
31,PL5C,5,-,True_OF_PL5D,-,,+,-,-
32,GND,-,-,-,-,,-,-,-
33,PL5D,5,-,Comp_OF_PL5C,-,,-,-,-
34,PL6A,5,PCLKT5_0,True_OF_PL6B,-,,-,-,E1
35,VCCIO5,5,-,-,-,,-,-,-
36,PL6B,5,PCLKC5_0,Comp_OF_PL6A,-,,-,-,F2
37,PL6C,5,-,True_OF_PL6D,-,,-,-,F4
38,GND,-,-,-,-,,+,-,-
39,PL6D,5,-,Comp_OF_PL6C,-,,+,-,G6
40,PL7A,5,-,True_OF_PL7B,-,,+,-,F3
41,VCC,-,-,-,-,,+,-,-
42,PL7B,5,-,Comp_OF_PL7A,-,,+,-,F1
43,PL7C,5,-,True_OF_PL7D,-,,+,-,G5
44,VCCIO5,5,-,-,-,,+,-,-
